<Token INTEGRO_TIPO, 'integro'> (Linha: 1, Coluna: 1)
<Token ID, 'num'> (Linha: 1, Coluna: 9)
<Token RECEBA, 'receba'> (Linha: 1, Coluna: 13)
<Token INTEGRO, '10'> (Linha: 1, Coluna: 20)
<Token SEMICOLON, ';'> (Linha: 1, Coluna: 22)
<Token IFO, 'ifo'> (Linha: 3, Coluna: 1)
<Token LPAREN, '('> (Linha: 3, Coluna: 5)
<Token ID, 'num'> (Linha: 3, Coluna: 6)
<Token OP_MENOR_QUE, 'menor_que'> (Linha: 3, Coluna: 10)
<Token INTEGRO, '10'> (Linha: 3, Coluna: 20)
<Token RPAREN, ')'> (Linha: 3, Coluna: 22)
<Token LBRACE, '{'> (Linha: 3, Coluna: 24)
<Token CALMA, 'calma'> (Linha: 4, Coluna: 3)
<Token LPAREN, '('> (Linha: 4, Coluna: 8)
<Token STRINGO, 'menor que 10'> (Linha: 4, Coluna: 9)
<Token RPAREN, ')'> (Linha: 4, Coluna: 23)
<Token SEMICOLON, ';'> (Linha: 4, Coluna: 24)
<Token RBRACE, '}'> (Linha: 5, Coluna: 1)
<Token ELSO_IFO, 'elso_ifo'> (Linha: 5, Coluna: 3)
<Token LPAREN, '('> (Linha: 5, Coluna: 12)
<Token ID, 'num'> (Linha: 5, Coluna: 13)
<Token OP_MAIOR_QUE, 'maior_que'> (Linha: 5, Coluna: 17)
<Token INTEGRO, '10'> (Linha: 5, Coluna: 27)
<Token RPAREN, ')'> (Linha: 5, Coluna: 29)
<Token LBRACE, '{'> (Linha: 5, Coluna: 31)
<Token CALMA, 'calma'> (Linha: 6, Coluna: 3)
<Token LPAREN, '('> (Linha: 6, Coluna: 8)
<Token STRINGO, 'maior que 10'> (Linha: 6, Coluna: 9)
<Token RPAREN, ')'> (Linha: 6, Coluna: 23)
<Token SEMICOLON, ';'> (Linha: 6, Coluna: 24)
<Token RBRACE, '}'> (Linha: 7, Coluna: 1)
<Token ELSO, 'elso'> (Linha: 7, Coluna: 3)
<Token LBRACE, '{'> (Linha: 7, Coluna: 8)
<Token CALMA, 'calma'> (Linha: 8, Coluna: 3)
<Token LPAREN, '('> (Linha: 8, Coluna: 8)
<Token STRINGO, 'igual a 10'> (Linha: 8, Coluna: 9)
<Token RPAREN, ')'> (Linha: 8, Coluna: 21)
<Token SEMICOLON, ';'> (Linha: 8, Coluna: 22)
<Token RBRACE, '}'> (Linha: 9, Coluna: 1)
