<Token INTEGRO_TIPO, 'integro'> (Linha: 1, Coluna: 1)
<Token ID, 'contador'> (Linha: 1, Coluna: 9)
<Token RECEBA, 'receba'> (Linha: 1, Coluna: 18)
<Token INTEGRO, '0'> (Linha: 1, Coluna: 25)
<Token SEMICOLON, ';'> (Linha: 1, Coluna: 26)
<Token DURANTO, 'duranto'> (Linha: 3, Coluna: 1)
<Token LPAREN, '('> (Linha: 3, Coluna: 9)
<Token ID, 'contador'> (Linha: 3, Coluna: 10)
<Token INTEGRO, '10'> (Linha: 3, Coluna: 19)
<Token ID, 'contador'> (Linha: 4, Coluna: 5)
<Token INCREMENTE, 'incremente'> (Linha: 4, Coluna: 14)
<Token SEMICOLON, ';'> (Linha: 4, Coluna: 24)
<Token RBRACE, '}'> (Linha: 5, Coluna: 1)
